visit-id,duration,assigned orient,nominal orient,ra,dec,start,end,slew,gap
0098101003070,828.0,113.2,102.41373703215983,3.3684011424017735,-1.095328689904318,2027.004:00:59:00,2027.004:01:16:43,0,0
0098101003071,828.0,113.2,102.64335874649896,3.3698523327693706,-1.080605383222702,2027.004:01:16:43,2027.004:01:34:25,0,0
0098101003072,828.0,113.2,102.87509438903456,3.3712148385943506,-1.0658821250224548,2027.004:01:34:25,2027.004:01:52:07,0,0
0098101003073,828.0,113.2,100.36210250847984,3.3985120135339035,-1.1247752547861811,2027.004:01:52:07,2027.004:02:09:50,0,0
0098101003079,828.0,113.2,99.05046590957656,3.43149786373197,-1.1100519965859328,2027.004:02:09:50,2027.004:02:27:32,0,0
0098101003080,828.0,113.2,99.39804665015362,3.4311906348781824,-1.095328689904318,2027.004:02:27:32,2027.004:02:45:14,0,0
0098101003075,828.0,113.2,100.9470717623635,3.3997958850038756,-1.095328689904318,2027.004:02:45:14,2027.004:03:02:57,0,0
0098101003074,828.0,113.2,100.68276077218417,3.399175340460534,-1.1100519965859328,2027.004:03:02:57,2027.004:03:20:39,0,0
0098101003078,828.0,113.2,98.75531162145163,3.431826269247349,-1.1247752547861811,2027.004:03:20:39,2027.004:03:38:21,0,0
0098101003081,828.0,113.2,99.77431100575951,3.4309026846404245,-1.080605383222702,2027.004:03:38:21,2027.004:03:56:03,0,0
0098101003087,828.0,113.2,98.68198981430436,3.46034106586735,-1.0658821250224548,2027.004:03:56:03,2027.004:04:13:46,0,0
0098101003076,828.0,113.2,101.27657146301239,3.4003775087048975,-1.080605383222702,2027.004:04:13:46,2027.004:04:31:28,0,0
0098101003082,828.0,113.2,100.13492483272607,3.4306323258670854,-1.0658821250224548,2027.004:04:31:28,2027.004:04:49:10,0,0
0098101003077,828.0,113.2,101.57170690028804,3.400923578594615,-1.0658821250224548,2027.004:04:49:10,2027.004:05:06:53,0,0
0098101001057,828.0,140.8,140.92804064808178,2.5806402104406176,-1.0073975477477999,2027.004:05:12:47,2027.004:05:30:29,354,0
0098101001058,828.0,140.8,139.6620032505218,2.6067941147258566,-1.0100027425446103,2027.004:05:30:29,2027.004:05:48:11,0,0
0098101001072,828.0,140.8,139.4274716620431,2.6114738369604087,-0.9955887469915424,2027.004:05:48:11,2027.004:06:05:54,0,0
0098101001084,828.0,140.8,139.1988570172691,2.6159466504121363,-0.9811759634726779,2027.004:06:05:54,2027.004:06:23:36,0,0
0098101001043,828.0,140.8,138.6237152012036,2.6289374996449903,-1.0267882042188252,2027.004:06:23:36,2027.004:06:41:18,0,0
0098101001059,828.0,140.8,138.4185112933701,2.633234514807812,-1.0123040076447332,2027.004:06:41:18,2027.004:06:59:00,0,0
